Date,Store_ID,Product_ID,Category,Region,Inventory_Level,Units_Sold,Units_Ordered,Demand_Forecast,Price,Discount,Weather_Condition,Holiday_Promotion,Competitor_Pricing,Seasonality,Inventory_Sales_Ratio,Sell_Through_Rate,Forecast_Accuracy,Supply_Gap,Inventory_Status
2022-01-01,S001,P0001,Groceries,North,231,127,55,135.47,33.5,20,Rainy,0,29.69,Autumn,1.8188976377952757,0.3547486033519553,-0.06252306783789768,104,Overstocked
2022-01-01,S001,P0002,Toys,South,204,150,66,144.04,63.01,20,Sunny,0,66.16,Autumn,1.36,0.423728813559322,0.039733333333333384,54,In stock
2022-01-01,S001,P0003,Toys,West,102,65,51,74.02,27.99,10,Sunny,1,31.32,Summer,1.5692307692307692,0.38922155688622756,-0.12185895703863815,37,Overstocked
2022-01-01,S001,P0004,Toys,North,469,61,164,62.18,32.72,10,Cloudy,1,34.74,Autumn,7.688524590163935,0.11509433962264151,-0.018977163074943706,408,Overstocked
2022-01-01,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,11.857142857142858,0.07777777777777778,0.3385714285714286,152,Overstocked
2022-01-01,S001,P0006,Groceries,South,138,128,102,139.82,76.83,10,Sunny,1,79.35,Winter,1.078125,0.48120300751879697,-0.0845372621942497,10,In stock
2022-01-01,S001,P0007,Furniture,East,359,97,167,108.92,34.16,10,Rainy,1,36.55,Winter,3.7010309278350517,0.21271929824561403,-0.10943811972089608,262,Overstocked
2022-01-01,S001,P0008,Clothing,North,380,312,54,329.73,97.99,5,Cloudy,0,100.09,Spring,1.2179487179487178,0.4508670520231214,-0.05377126740060054,68,In stock
2022-01-01,S001,P0009,Electronics,West,183,175,135,174.15,20.74,10,Cloudy,0,17.66,Autumn,1.0457142857142858,0.4888268156424581,0.004857142857142825,8,In stock
2022-01-01,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,3.857142857142857,0.20588235294117646,0.1260714285714286,80,Overstocked
2022-01-01,S001,P0011,Furniture,South,258,150,153,152.74,58.53,10,Sunny,1,61.42,Spring,1.72,0.36764705882352944,-0.01793898127536997,108,Overstocked
2022-01-01,S001,P0012,Clothing,West,66,24,70,26.75,58.25,20,Snowy,0,62.21,Spring,2.75,0.26666666666666666,-0.102803738317757,42,Overstocked
2022-01-01,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,2.2857142857142856,0.30434782608695654,0.012857142857142836,54,Overstocked
2022-01-01,S001,P0014,Clothing,West,193,12,187,6.8,78.11,0,Sunny,0,80.06,Spring,16.083333333333332,0.05853658536585366,0.43333333333333335,181,Overstocked
2022-01-01,S001,P0015,Clothing,North,379,369,154,363.46,92.99,15,Snowy,0,95.8,Winter,1.02710027100271,0.49331550802139035,0.015013550135501411,10,In stock
2022-01-01,S001,P0016,Electronics,North,363,255,69,255.74,21.9,5,Cloudy,1,20.27,Autumn,1.423529411764706,0.41262135922330095,-0.002893563775709741,108,In stock
2022-01-01,S001,P0017,Toys,West,318,246,177,255.37,21.07,20,Sunny,0,16.49,Winter,1.2926829268292683,0.43617021276595747,-0.036691858871441455,72,In stock
2022-01-01,S001,P0018,Clothing,South,241,151,47,147.27,19.57,5,Cloudy,0,23.13,Autumn,1.596026490066225,0.3852040816326531,0.02470198675496682,90,Overstocked
2022-01-01,S001,P0019,Clothing,East,352,257,186,267.38,73.28,10,Cloudy,0,77.26,Winter,1.3696498054474708,0.4220032840722496,-0.03882115341461589,95,In stock
2022-01-01,S001,P0020,Toys,East,274,99,166,115.23,30.24,5,Cloudy,0,27.1,Spring,2.7676767676767677,0.26541554959785524,-0.14084873730799274,175,Overstocked
2022-01-01,S002,P0001,Groceries,South,343,104,144,112.55,32.8,20,Sunny,1,30.78,Spring,3.298076923076923,0.232662192393736,-0.07596623722789869,239,Overstocked
2022-01-01,S002,P0002,Clothing,West,373,141,151,135.62,46.16,10,Rainy,1,45.21,Winter,2.645390070921986,0.27431906614785995,0.038156028368794295,232,Overstocked
2022-01-01,S002,P0003,Furniture,East,445,182,119,176.31,20.46,20,Snowy,1,22.0,Spring,2.4450549450549453,0.2902711323763955,0.03126373626373625,263,Overstocked
2022-01-01,S002,P0004,Toys,West,191,63,115,54.57,26.19,0,Cloudy,0,28.06,Autumn,3.0317460317460316,0.24803149606299213,0.1338095238095238,128,Overstocked
2022-01-01,S002,P0005,Toys,West,281,156,25,150.9,83.29,20,Rainy,0,80.64,Autumn,1.8012820512820513,0.35697940503432496,0.03269230769230765,125,Overstocked
2022-01-01,S002,P0006,Furniture,North,492,250,168,242.57,85.59,20,Cloudy,0,86.82,Winter,1.968,0.33692722371967654,0.029720000000000028,242,Overstocked
2022-01-01,S002,P0007,Groceries,West,460,393,70,401.48,91.13,5,Sunny,0,93.33,Summer,1.1704834605597965,0.46072684642438455,-0.02112184915811502,67,In stock
2022-01-01,S002,P0008,Electronics,West,304,29,99,35.54,66.96,20,Snowy,0,65.36,Summer,10.482758620689655,0.08708708708708708,-0.1840180078784468,275,Overstocked
2022-01-01,S002,P0009,Clothing,South,113,9,84,14.78,81.29,5,Rainy,1,82.06,Winter,12.555555555555555,0.07377049180327869,-0.3910690121786197,104,Overstocked
